,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
TOTAL_POSIX_FILE_ALIGNMENT,0.0,1048576.0,0.0,1048576.0,1048576.0,0.0,0.0,0.0,0.0,262144.0,0.0,0.0,1048576.0,1048576.0,0.0,1048576.0,1048576.0,1048576.0,1048576.0,1048576.0,262144.0,1048576.0,1048576.0,1048576.0,1048576.0,1048576.0,1048576.0,1048576.0,0.0,1048576.0,262144.0,1048576.0,1048576.0,0.0,0.0,0.0,1048576.0,262144.0,0.0,1048576.0,0.0,0.0,1048576.0,262144.0,1048576.0,1048576.0,4096.0,262144.0,0.0,262144.0,0.0,262144.0,262144.0,4096.0,0.0
TOTAL_POSIX_MODE,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,438.0,0.0,438.0,0.0,0.0,416.0,0.0,0.0,0.0,438.0,0.0,438.0,438.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL_STDIO_READS,0.0,0.0,0.0,0.0,95.0,159290022.0,21350000.0,14.0,1.0,0.0,0.0,48.0,0.0,0.0,306307382.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,262743.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,56.0,0.0,90.0,0.0,0.0,203036.0
TOTAL_MPIIO_SIZE_WRITE_AGG_1M_4M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL_POSIX_MAX_BYTE_WRITTEN,28138.0,0.0,18017.0,2663.0,1073810839.0,228653708.0,2113967.0,151646985.0,105253582.0,20748671.0,109.0,10513304055.0,0.0,1526.0,109.0,63889879.0,230911817.0,0.0,148543999.0,75891203.0,0.0,0.0,23495272.0,148543999.0,2917019.0,0.0,21801498.0,20971519.0,105076100.0,157.0,2130739199.0,366702659.0,3623378.0,109.0,0.0,540691151.0,0.0,651519.0,109.0,0.0,109.0,109.0,78746.0,43195.0,0.0,0.0,215000000000.0,431.0,199884799.0,460807.0,168867919.0,460807.0,84155.0,264254279.0,1186652003.0
TOTAL_IO_OPS,2578.0,956.0,408088.0,1680.0,217966.0,285959982.0,24191490.0,406.0,8815.0,1107.5,17.0,4919396.0,563680.0,3631.0,306307399.0,42758.5,8856.0,48373.0,194214.0,3737.0,5.0,101.0,2556971.0,747748.0,1023.0,1154.0,2708602.0,3657.0,1179683.0,122.0,80131.0,1124737.0,5120.0,391822.0,0.0,604615071.0,2433.0,2637.0,32774.0,10240.0,30.0,3671864.0,695666789.0,32801.0,131072.0,44891.0,4068366.0,143.0,244884.5,1965.0,142932.0,1984.0,262177.0,748.0,102712409.0
TOTAL_BYTES_READ,3262976.0,1788416.0,3276494844.0,0.0,6444058077.5,300774000000.0,60012522867.0,403666204.0,6208265582.0,106.0,0.0,15195018055.0,27985114.0,0.0,55307653919.5,164570498.0,25765118.0,5160212848.0,10320292508.0,5071504.0,9360.0,53.0,142266364.5,42633294595.0,8778436.0,1465029.0,2135620561.0,6236663.0,1225730000000.0,233860.0,4261481196.0,8207007744.0,12938426.0,5882742528.0,0.0,221377000000.0,32689152.0,79713.0,33162264.0,64986128.0,4332.0,10364315300.0,5695000000000.0,24133632.0,35553280.0,360062961.0,215000000000.0,4345820.0,236444500000.0,31641.5,226605500000.0,80102.0,193200128.0,300703956.0,80942832285.5
TOTAL_POSIX_WRITES,1.0,0.0,40.0,6.0,9000.0,0.0,0.0,42.0,5778.0,221.0,0.0,47116.0,0.0,3631.0,0.0,13650.0,322.0,0.0,5151.0,2244.0,0.0,0.0,2546657.0,69942.0,58.5,0.0,111666.0,1278.0,102238.0,19.0,45486.5,352300.0,2560.0,0.0,0.0,0.0,0.0,2612.0,0.0,0.0,0.0,0.0,2149.0,33.0,0.0,0.0,3990530.0,9.0,127928.0,12.0,78249.5,12.0,33.0,693.0,0.0
TOTAL_POSIX_SEQ_WRITES,16.0,0.0,44.0,4.0,8964.0,20504600.0,1405355.0,187.0,5766.0,209.0,16.0,42218.0,0.0,3521.0,16.0,12937.0,257.0,0.0,4984.0,2242.0,0.0,0.0,2537253.0,51786.0,16.0,0.0,111648.0,1121.0,72125.0,17.0,45240.0,352257.0,2432.0,16.0,0.0,604559191.0,0.0,2592.0,16.0,0.0,16.0,16.0,2142.0,30.0,0.0,0.0,2659200.0,8.0,37399.0,11.0,23329.0,11.0,30.0,484.0,99685616.5
TOTAL_POSIX_STATS,2051.0,256.0,29189.0,320.0,1353.0,17922.0,141334.0,126.0,355.0,2.0,1.0,32919.0,512.0,110.0,65545.0,707.0,10.0,20.0,84.0,3.0,120.0,1.0,2102.0,24043.0,60.0,322.0,16492.0,20.0,1066597.0,6.0,15.0,20745.0,390.0,22.0,197.0,385.0,257.0,8.0,13.0,33.0,9.0,262164.0,417799.0,24580.0,65536.0,517.0,4097.0,33.0,172854.0,17.0,44241.0,23.0,196612.0,12.0,464149.5
